media_cinza_cafe,R_medio_cafe,G_medio_cafe,B_medio_cafe,R_std_cafe,G_std_cafe,B_std_cafe,media_cinza_folha,Agtron
64.343,34.848,57.07,89.833,21.566,29.849,35.453,168.964,claro
67.201,36.166,59.86,93.402,22.28,31.409,36.823,168.964,claro
64.933,35.394,57.65,90.46,22.48,31.085,36.338,168.964,claro
64.682,34.438,57.422,90.433,21.061,29.921,36.295,168.964,claro
74.105,38.979,66.452,102.468,24.587,34.847,39.965,171.483,claro
77.528,41.488,69.785,106.413,26.325,37.34,43.17,171.483,claro
73.94,38.968,66.01,102.786,25.415,36.067,41.683,171.483,claro
71.919,37.694,64.011,100.435,24.985,35.727,41.662,171.483,claro
69.69,36.564,62.02,97.329,24.664,35.937,42.784,171.483,claro
74.912,39.915,67.08,103.569,27.136,38.176,43.906,171.483,claro
69.958,36.818,62.182,97.804,24.343,35.229,41.773,171.483,claro
76.583,40.708,68.58,105.913,25.943,36.318,41.601,171.483,claro
72.838,37.957,64.743,101.968,24.87,35.31,41.075,171.483,claro
76.721,40.113,69.115,105.559,24.705,35.126,40.083,171.483,claro
76.736,39.625,69.191,105.648,24.001,34.01,38.719,171.483,claro
72.139,38.223,64.57,99.886,23.954,33.769,38.979,171.483,claro
30.014,25.286,27.876,35.966,22.352,23.246,24.936,159.319,escuro
26.899,23.033,24.828,32.374,20.154,21.293,23.047,159.319,escuro
25.928,22.276,24.02,31.035,19.837,20.773,22.386,159.319,escuro
29.748,25.569,27.665,35.389,22.656,23.297,24.714,159.319,escuro
27.529,23.18,25.418,33.293,20.183,21.551,23.707,159.319,escuro
27.084,23.008,24.987,32.709,20.284,21.187,22.905,159.319,escuro
30.976,20.622,28.355,40.052,19.512,22.432,24.816,159.319,escuro
30.843,19.818,28.039,40.54,19.375,22.688,25.408,159.319,escuro
31.068,20.07,28.284,40.72,18.232,21.143,23.791,159.319,escuro
30.001,21.623,28.005,37.137,21.823,24.053,26.704,171.038,escuro
26.413,19.283,24.632,32.654,19.933,22.275,24.786,171.038,escuro
26.346,18.944,24.512,32.774,20.077,22.663,25.481,171.038,escuro
26.705,19.205,24.909,33.109,20.157,22.846,25.662,171.038,escuro
27.9,19.872,25.931,34.851,20.745,23.316,26.114,171.038,escuro
27.593,20.403,25.679,34.097,20.434,22.816,25.687,171.038,escuro
26.389,20.637,24.87,31.585,21.745,23.411,25.462,171.038,escuro
40.099,26.686,36.858,51.581,21.087,25.044,28.069,172.396,escuro
36.874,20.763,33.392,49.896,18.137,23.055,26.536,172.396,escuro
37.647,22.067,34.256,50.289,19.065,23.577,26.721,172.396,escuro
37.889,21.54,34.345,51.122,19.292,23.694,26.623,172.396,escuro
37.765,22.561,34.459,50.081,19.688,24.175,27.163,172.396,escuro
39.075,23.662,35.75,51.526,19.874,24.567,28.235,172.396,escuro
35.195,26.808,32.458,43.708,23.011,25.729,28.464,172.396,escuro
36.34,27.951,33.453,45.146,23.781,26.201,28.617,172.396,escuro
36.006,26.516,33.178,45.143,22.451,25.599,28.448,172.396,escuro
35.976,26.248,33.109,45.27,21.77,24.603,26.828,172.396,escuro
38.117,28.79,35.306,47.152,23.582,25.994,28.14,172.396,escuro
40.685,28.236,37.541,51.626,24.288,27.719,30.334,161.017,escuro
39.924,27.779,36.811,50.677,23.668,26.786,29.096,161.017,escuro
37.796,25.96,34.647,48.503,23.653,27.016,29.792,161.017,escuro
38.199,25.101,34.864,49.777,22.348,26.118,29.262,161.017,escuro
42.085,25.067,38.567,55.535,21.925,27.024,30.462,161.017,escuro
40.147,23.214,36.606,53.613,21.477,26.984,30.511,161.017,escuro
39.729,23.117,36.086,53.266,21.338,27.259,31.481,161.017,escuro
39.312,24.248,35.851,51.892,22.571,28.086,32.331,161.017,escuro
40.601,25.076,37.056,53.54,22.948,28.291,32.425,161.017,escuro
48.275,26.935,44.328,64.183,23.97,32.321,37.725,172.955,medio
49.397,27.176,45.284,65.959,23.122,31.262,36.82,172.955,medio
46.473,26.071,42.447,62.19,23.603,31.129,36.394,172.955,medio
47.902,26.896,43.915,63.759,23.959,32.402,38.046,172.955,medio
46.935,26.341,43.025,62.496,23.405,31.17,36.392,172.955,medio
45.856,26.074,42.089,60.82,22.797,30.172,35.346,172.955,medio
45.325,26.265,41.572,59.999,23.403,30.748,35.573,172.955,medio
45.185,25.954,41.457,59.863,23.058,30.581,35.954,172.955,medio
46.542,26.942,42.715,61.564,23.581,30.899,36.041,172.955,medio
45.781,25.679,41.911,61.072,23.053,31.093,36.425,172.955,medio
45.219,26.054,41.521,59.813,23.636,31.449,36.803,172.955,medio
43.048,24.177,39.365,57.504,22.434,30.135,35.671,172.955,medio
46.503,27.145,42.771,61.24,24.068,31.799,37.235,172.955,medio
52.189,24.692,47.19,72.472,21.696,30.837,36.187,168.444,medio
51.712,24.54,46.715,71.858,21.195,29.838,34.904,168.444,medio
54.982,26.711,50.005,75.522,22.854,32.422,38.058,168.444,medio
